the_geom,objectid,id,name,stacked,annoline1,annoline3,cartodb_id,annoline4,annoline2a,angle,created_at,updated_at,borough
0101000020E610000053D04A45377152C088BF851ABB624440,59,20,Crocheron Park,2,Crocheron,,59,,Park,0,2014-10-23,2014-10-23,Queens
0101000020E610000092ACE925A26F52C040CE9DD877604440,60,1,Alley Pond Park,3,Alley,Park,60,,Pond,0,2014-10-23,2014-10-23,Queens
0101000020E6100000D1043ACADD6E52C03B94FFDC35604440,61,24,Douglaston Park,2,Douglaston,,61,,Park,0,2014-10-23,2014-10-23,Queens
0101000020E610000045D32579C27252C0C5EB566E1F674440,62,33,Fort Schuyler,2,Fort,,62,,Schuyler,0,2014-10-23,2014-10-23,Bronx
0101000020E6100000722EB35E877B52C0A2E05379DF5D4440,63,12,Calvary Cemetery,2,Calvary,,63,,Cemetery,0,2014-10-23,2014-10-23,Queens
0101000020E6100000BE5DC501717A52C0BCC7ED5D585E4440,64,67,New Calvary Cemetery,3,New,Cemetery,64,,Calvary,0,2014-10-23,2014-10-23,Queens
0101000020E6100000C4835E3C1B7A52C0CFE09415B45D4440,65,66,Mount Zion Cemetery,2,Mt. Zion,,65,,Cemetery,0,2014-10-23,2014-10-23,Queens
0101000020E6100000DF68F807C87752C019397759B0484440,66,46,Jacob Riis Park,2,Jacob Riis,,66,,Park,0,2014-10-23,2014-10-23,Queens
0101000020E6100000384F710C467952C0D0341780E3474440,67,34,Fort Tilden,2,Fort,,67,,Tilden,0,2014-10-23,2014-10-23,Queens
0101000020E610000032F197E7E58252C067B545ED51584440,68,53,Liberty Island,0,Liberty,,68,,Island,0,2014-10-23,2014-10-23,Manhattan
0101000020E61000008EB13B34928252C07E6CD3367F594440,69,26,Ellis Island,0,Ellis,,69,,Island,0,2014-10-23,2014-10-23,Manhattan
0101000020E6100000482ADF559A8652C0C86993F236524440,70,83,Snug Harbor,2,Snug,,70,,Harbor,0,2014-10-23,2014-10-23,Staten Island
0101000020E6100000024101FB0D8652C0747BB7EA4A504440,71,82,Silver Lake Park,3,Silver,Park,71,,Lake,0,2014-10-23,2014-10-23,Staten Island
0101000020E61000001D290FB1158752C045825C3C1E4F4440,72,17,Clove Lakes Park,3,Clove,Park,72,,Lakes,0,2014-10-23,2014-10-23,Staten Island
0101000020E61000002D781FAEC38352C0D3A2967A5C4D4440,73,37,Fort Wadsworth,2,Fort,,73,,Wadsworth,0,2014-10-23,2014-10-23,Staten Island
0101000020E610000021D3F538538652C0A0625E0DB5484440,74,60,Miller Field,2,Miller,,74,,Field,0,2014-10-23,2014-10-23,Staten Island
0101000020E6100000688764EB098852C0829E547033464440,75,40,Great Kills Park,3,Great,Park,75,,Kills,0,2014-10-23,2014-10-23,Staten Island
0101000020E610000052636AC9828752C050BC7165964A4440,76,62,Moravian Cemetery,2,Moravian,,76,,Cemetery,0,2014-10-23,2014-10-23,Staten Island
0101000020E6100000499723C81E8952C086CCF510844A4440,77,52,LaTourette Park,2,LaTourette,,77,,Park,0,2014-10-23,2014-10-23,Staten Island
0101000020E61000001E440BB6208A52C0F582A11DE14C4440,78,93,Willowbrook Park,2,Willowbrook,,78,,Park,0,2014-10-23,2014-10-23,Staten Island
0101000020E61000000BE09301398B52C089419D1A00444440,79,6,Blue Heron Park,3,Blue,Park,79,,Heron,0,2014-10-23,2014-10-23,Staten Island
0101000020E61000007EEDC4C2508C52C0459F365DC8424440,80,94,Wolfe's Pond Park,3,Wolfe's,Park,80,,Pond,0,2014-10-23,2014-10-23,Staten Island
0101000020E610000018886EC2F48D52C070794CB13C414440,81,64,Mount Loretto,2,Mt.,,81,,Loretto,0,2014-10-23,2014-10-23,Staten Island
0101000020E61000002CF1A47BE88F52C018936AC6F13F4440,82,19,Conference House Park,3,Conference,Park,82,,House,0,2014-10-23,2014-10-23,Staten Island
0101000020E6100000FF9C11521F8D52C03E654A2E8D464440,83,85,South Shore Golf Course,4,South,Golf,83,Course,Shore,0,2014-10-23,2014-10-23,Staten Island
0101000020E61000008AFBC07E7A8C52C0565597B27A494440,84,38,Fresh Kills,2,Fresh,,84,,Kills,0,2014-10-23,2014-10-23,Staten Island
0101000020E610000018B4EF5A917A52C0994F3A24A64A4440,85,70,Plumb Beach,2,Plumb,,85,,Beach,0,2014-10-23,2014-10-23,Brooklyn
0101000020E610000006CAC9CE4D7252C02B51B6E0F3524440,86,48,John F. Kennedy International Airport,2,John F. Kennedy,,86,,International Airport,0,2014-10-23,2014-10-23,Queens
0101000020E6100000B01CEA37F47752C0DCD487D140634440,87,51,LaGuardia Airport,1,LaGuardia Airport,,87,,,0,2014-10-23,2014-10-23,Queens
0101000020E610000028F038EBE17452C0B68ECD72BA4F4440,88,47,Jamaica Bay Wildlife Refuge,2,Jamaica Bay,,88,,Wildlife Refuge,0,2014-10-23,2014-10-23,Brooklyn
0101000020E6100000FBEC4EB4987F52C045F417C0E34A4440,89,13,Calvert Vaux,2,Calvert Vaux,,89,,Park,0,2014-10-23,2014-10-23,Brooklyn
0101000020E61000007AFFFBDA5A8752C0A6EE7F5D934B4440,90,43,High Rock Park,2,High Rock,,90,,Park,0,2014-10-23,2014-10-23,Staten Island
0101000020E610000089ABDAF95A8052C0E89523A505564440,100,73,Red Hook Park,2,Red Hook,,91,,Park,0,2014-10-23,2014-10-23,Brooklyn
0101000020E610000080098190807952C0F416F974D9614440,102,80,Saint Michael's Cemetery,2,St. Michael's,,92,,Cemetery,0,2014-10-23,2014-10-23,Queens
0101000020E61000006EF5FD53AD7A52C0C20F9F1137724440,103,75,Riverdale Park,1,Riverdale Park,,93,,Park,75,2014-10-23,2014-10-23,Bronx
0101000020E610000085813BB4367752C0BF2F967F87594440,105,31,Forest Park (Golf Course),1,Forest,,94,,,0,2014-10-23,2014-10-23,Queens
0101000020E6100000E371687A5C7752C000DC7A7EAA524440,108,87,Spring Creek Park Preserve (No Access),2,Spring Creek,,95,,Park,0,2014-10-23,2014-10-23,Brooklyn
0101000020E61000006DD9608E077652C0DBE7937BBA524440,109,86,Spring Creek Park Gateway National Recreation Area,2,Spring Creek,,96,,Park,0,2014-10-23,2014-10-23,Queens
